Index,Business Name,Business Address,Business Address(Line 1),Business Address(Line 2),Business Address Suburb,Business Phone Number,Eat Safe Rating,Permit Name,Business Address Suburb List
2286,Donut King Wynnum Plaza,K3 / 2021 Wynnum Road 07 3893 3377,K3 / 2021 Wynnum Road,,Wynnum West,07 3893 3377,3,Takeaway Food,"W, Wynnum West"
2287,Woolworths Wynnum 2544,2021 Wynnum Rd (Wynnum Plaza Shopping Centre) -,2021 Wynnum Rd (Wynnum Plaza Shopping Centre),,Wynnum West,-,,"Food Shop,Delicatessen,Bakery/Patisserie","W, Wynnum West"
2288,Wynnum Vikings AFL Club,300 Kianawah Road 0418156458,300 Kianawah Road,,Wynnum West,0418156458,,Takeaway Food,"W, Wynnum West"
2289,Koolbeans Cafe / Banh Mi Hub,"Shop 2, 255 Sibley Rd -","Shop 2, 255 Sibley Rd",,Wynnum West,-,,Takeaway Food,"W, Wynnum West"
2290,Wynnum Baptist Church,287 Kianawah Rd 3390 5833,287 Kianawah Rd,,Wynnum West,3390 5833,,Caterer - On Site,"W, Wynnum West"
2291,Goodstart Early Learning Wynnum West - Wondall Road,203 Wondall Rd 39063419,203 Wondall Rd,,Wynnum West,39063419,5,Child Care Centre,"W, Wynnum West"
2292,Noodle Box Wynnum West,Shop 5 2063 Wynnum Rd -,Shop 5 2063 Wynnum Rd,,Wynnum West,-,3,Takeaway Food,"W, Wynnum West"
2293,Hungry Jacks Wynnum West,300/2021 Wynnum Road 3396 5054,300/2021 Wynnum Road,,Wynnum West,3396 5054,,Cafe/Restaurant,"W, Wynnum West"
2294,Ocean Thai,Shop 1 / 99 Wondall Road 0426 192 790,Shop 1 / 99 Wondall Road,,Wynnum West,0426 192 790,4,Cafe/Restaurant,"W, Wynnum West"
2295,Subway Wynnum Plaza,"Shop 1, 2021 Wynnum Rd -","Shop 1, 2021 Wynnum Rd",,Wynnum West,-,4,"Cafe/Restaurant,Takeaway Food","W, Wynnum West"
2296,Taste The Aroma,2021 Wynnum Road 3349 4688,2021 Wynnum Road,,Wynnum West,3349 4688,,Cafe/Restaurant,"W, Wynnum West"
2297,BlueCare Wynnum and Eastside Respite,64 Rodney St -,64 Rodney St,,Wynnum West,-,,Care Facility,"W, Wynnum West"
2298,Kebab Star,"Shop 2, 2021 Wynnum Rd Wynnum Plaza -","Shop 2, 2021 Wynnum Rd",Wynnum Plaza,Wynnum West,-,4,"Cafe/Restaurant,Takeaway Food","W, Wynnum West"
2299,Wynnum Bakery,"Shop 6, 2021 Wynnum Road (Wynnum Plaza) -","Shop 6, 2021 Wynnum Road (Wynnum Plaza)",,Wynnum West,-,3,Bakery/Patisserie,"W, Wynnum West"
2300,Jimbo and Co Coffee Merchants,"Shop 13, 38 Hellyer St -","Shop 13, 38 Hellyer St",,Wynnum West,-,,Cafe/Restaurant,"W, Wynnum West"
2301,Mura  Conveyor Sushi,2021 Wynnum Rd -,2021 Wynnum Rd,,Wynnum West,-,3,Cafe/Restaurant,"W, Wynnum West"
2302,Wynnum and Bayside Childcare Centre,2 Dasyure Place -,2 Dasyure Place,,Wynnum West,-,5,Child Care Centre,"W, Wynnum West"
2303,Wesley Mission Queensland Limited,176 Sibley Rd -,176 Sibley Rd,,Wynnum West,-,5,Hospital,"W, Wynnum West"
2304,TRITON SEAFOOD MARKET,2/2021 WYNNUM ROAD -,2/2021 WYNNUM ROAD,,Wynnum West,-,,Takeaway Food,"W, Wynnum West"
2305,Fish and Chip Co,"Shop 6, 2067 Wynnum Rd (2063 Wynnum Rd) -","Shop 6, 2067 Wynnum Rd",(2063 Wynnum Rd),Wynnum West,-,4,Takeaway Food,"W, Wynnum West"
2306,Guardian Childcare & Education Wynnum West,164 Kianawah Rd -,164 Kianawah Rd,,Wynnum West,-,5,Child Care Centre,"W, Wynnum West"
2307,Wynnum Fruit Basket,34/2021 WYNNUM ROAD -,34/2021 WYNNUM ROAD,,Wynnum West,-,4,Fruit and Vegetable Processing,"W, Wynnum West"
2308,PJ's Steaks Wynnum Plaza,Shop 29A Wynnum Plaza 2021 Wynnum Rd -,Shop 29A Wynnum Plaza,2021 Wynnum Rd,Wynnum West,-,,Cafe/Restaurant,"W, Wynnum West"
2309,Iknead,62 Regent Street -,62 Regent Street,,Wynnum West,-,3,Food Manufacturer,"W, Wynnum West"
2310,The 3 Musketeers Cafe,687 Esplanade -,687 Esplanade,,Lota,-,5,Cafe/Restaurant,"L, Lota"
2311,Lota Takeaway,713 Esplande 07 3396 3494,713 Esplande,,Lota,07 3396 3494,3,Takeaway Food,"L, Lota"
2312,E.M. Tooth Memorial Home,162 Oceana Tce 3421 1503,162 Oceana Tce,,Lota,3421 1503,5,Care Facility,"L, Lota"
2313,Guardian Childcare & Education Lota,215 Whites Rd -,215 Whites Rd,,Lota,-,5,Child Care Centre,"L, Lota"
2314,Baywatch Cafe,423 Esplanade -,423 Esplanade,,Manly,-,,Takeaway Food,"M, Manly"
2315,Olivera Bar and Dining,461 Esplanade -,461 Esplanade,,Manly,-,4,Cafe/Restaurant,"M, Manly"
2316,Wynnum Manly Yacht Club Inc.,542 Royal Esplanade 3393 5708,542 Royal Esplanade,,Manly,3393 5708,,Cafe/Restaurant,"M, Manly"
2317,Marina Crest,"The Marine Centre Shop 8, 453 The Esplanade -",The Marine Centre,"Shop 8, 453 The Esplanade",Manly,-,,Cafe/Restaurant,"M, Manly"
2318,Lebistro,75 Cambridge Parade -,75 Cambridge Parade,,Manly,-,,Cafe/Restaurant,"M, Manly"
2319,Royal Queensland Yacht Squadron,578A Royal Esp -,578A Royal Esp,,Manly,-,5,"Takeaway Food,Cafe/Restaurant","M, Manly"
2320,Manly Deck,1/45 Cambridge Parade -,1/45 Cambridge Parade,,Manly,-,3,Cafe/Restaurant,"M, Manly"
2321,Manly Boathouse,4 Trafalgar Street (24 Fairlead Cres) -,4 Trafalgar Street (24 Fairlead Cres),,Manly,-,,"Cafe/Restaurant,Bakery/Patisserie","M, Manly"
2322,Moreton Bay Trailer Boat Club inc,34 Fairlead Crescent 07 33968161,34 Fairlead Crescent,,Manly,07 33968161,4,Cafe/Restaurant,"M, Manly"
2323,Keith's on Cambridge,shop 1 & 2 Stratton Terrace 33933545,shop 1 & 2 Stratton Terrace,,Manly,33933545,,Cafe/Restaurant,"M, Manly"
2324,MANLY HOTEL,221 Stratton Terrace (Cnr Cambridge Parade) -,221 Stratton Terrace (Cnr Cambridge Parade),,Manly,-,4,Cafe/Restaurant,"M, Manly"
2325,Cafe La Mer Manly,1 / 570 Royal Esplanade -,1 / 570 Royal Esplanade,,Manly,-,,Cafe/Restaurant,"M, Manly"
2326,Celtic Corner Bar and Bistro,45 Cambridge Parade 3396 3020,45 Cambridge Parade,,Manly,3396 3020,4,Cafe/Restaurant,"M, Manly"
2327,Wang Chung,Wyvernleigh Cl (William Gunn Jetty) -,Wyvernleigh Cl (William Gunn Jetty),,Manly,-,4,Cafe/Restaurant,"M, Manly"
2328,Groundhog Social,443 Esplanade -,443 Esplanade,,Manly,-,4,Cafe/Restaurant,"M, Manly"
2329,Thai Boat Restaurant,"Shop 1A, 99 Cambridge Pde 07 3396 1600","Shop 1A, 99 Cambridge Pde",,Manly,07 3396 1600,3,Cafe/Restaurant,"M, Manly"
2330,Manly Bakery,Shop 5 - 222 Stratton Tce 3396 5688,Shop 5 - 222 Stratton Tce,,Manly,3396 5688,3,Bakery/Patisserie,"M, Manly"
2331,The Arsonist,"Shop 1, 457 Esplanade (Manly Pavilion Complex) -","Shop 1, 457 Esplanade (Manly Pavilion Complex)",,Manly,-,,Cafe/Restaurant,"M, Manly"
2332,BP Manly,10 Ernest Street -,10 Ernest Street,,Manly,-,4,Takeaway Food,"M, Manly"
2333,Lido Italia,S3 11 Cambridge Pde 0733487966,S3 11 Cambridge Pde,,Manly,0733487966,3,Takeaway Food,"M, Manly"
2334,IGA Manly Village,25 Cambridge Parade -,25 Cambridge Parade,,Manly,-,,Delicatessen,"M, Manly"
2335,Joo Japanese Sushi Restaurant,"Shop 6, 222 Stratton Tce -","Shop 6, 222 Stratton Tce",,Manly,-,3,Cafe/Restaurant,"M, Manly"
2336,Cooper 's Specialty Coffee & Tap House,409 Esplanade -,409 Esplanade,,Manly,-,3,Cafe/Restaurant,"M, Manly"
2337,BBQ Grill N Roll,3 / 10 Ernest St -,3 / 10 Ernest St,,Manly,-,4,"Cafe/Restaurant,Takeaway Food","M, Manly"
2338,Cambridge Lane Espresso,3 / 63 Cambridge Parade -,3 / 63 Cambridge Parade,,Manly,-,,Cafe/Restaurant,"M, Manly"
2339,Poolside Manly,1 Fairlead Cres -,1 Fairlead Cres,,Manly,-,4,Cafe/Restaurant,"M, Manly"
2340,Andonis Cafe & Bar Manly,1 / 191 Stratton Tce -,1 / 191 Stratton Tce,,Manly,-,5,Cafe/Restaurant,"M, Manly"
2341,Spice Almighty,19 Barrinia Street -,19 Barrinia Street,,Manly,-,,Food Manufacturer,"M, Manly"
2342,Wings Early Learning Manly,18 Ernest Street -,18 Ernest Street,,Manly,-,,Child Care Centre,"M, Manly"
2343,Shucks Bar,2/459 ESPLANADE -,2/459 ESPLANADE,,Manly,-,5,"Cafe/Restaurant,Caterer - Off Site","M, Manly"
2344,Treehouse Early Learning Manly Pty Ltd,70-74 Ernest Street -,70-74 Ernest Street,,Manly,-,5,Child Care Centre,"M, Manly"
2345,Corner House Fish and Chips,2 / 212 Preston Road 3396 4884,2 / 212 Preston Road,,Manly West,3396 4884,4,Takeaway Food,"M, Manly West"
2346,Manly Bowls Club,26 Faine St 0733963272,26 Faine St,,Manly West,0733963272,3,Cafe/Restaurant,"M, Manly West"
2347,Wynnum Manly Leagues Club Limited,92 Wondall Road -,92 Wondall Road,,Manly West,-,3,Cafe/Restaurant,"M, Manly West"
2348,Metropolitan Canteens Qld,450 Wondall Rd 32499303,450 Wondall Rd,,Manly West,32499303,3,Cafe/Restaurant,"M, Manly West"
2349,Manly Thai Restaurant,3 / 200 Preston Rd -,3 / 200 Preston Rd,,Manly West,-,4,"Cafe/Restaurant,Takeaway Food","M, Manly West"
2350,Salt Cafe Bistro,8/11 Burnett St -,8/11 Burnett St,,Manly West,-,4,Cafe/Restaurant,"M, Manly West"
2351,Manly West Bakery,3/5 Trevally Cres 3348 7255,3/5 Trevally Cres,,Manly West,3348 7255,3,Bakery/Patisserie,"M, Manly West"
2352,Brumby's Bakery Manly,S 4 11 Burnett St -,S 4 11 Burnett St,,Manly West,-,,Bakery/Patisserie,"M, Manly West"
2353,Woolworths Manly West 2636,11 Burnett Street -,11 Burnett Street,,Manly West,-,,"Delicatessen,Bakery/Patisserie,Food Shop","M, Manly West"
2354,Manly House,Shop 5 212 Preston Rd 3396 5969,Shop 5,212 Preston Rd,Manly West,3396 5969,3,Takeaway Food,"M, Manly West"
2355,Le Artisanale,"Shop 2, 200 Preston Rd -","Shop 2, 200 Preston Rd",,Manly West,-,4,"Bakery/Patisserie,Cafe/Restaurant","M, Manly West"
2356,Whites Road Snack Bar,103 Whites Rd -,103 Whites Rd,,Manly West,-,3,Takeaway Food,"M, Manly West"
2357,Pizza Land,6/212 Preston Road (07) 3396 5696,6/212 Preston Road,,Manly West,(07) 3396 5696,3,Takeaway Food,"M, Manly West"
2358,Magic Wok Asian Foods,"Shop 5, 5 Trevally Crescent -","Shop 5, 5 Trevally Crescent",,Manly West,-,3,Cafe/Restaurant,"M, Manly West"
2359,Butterfly Childcare,399 Manly Rd 0739066500,399 Manly Rd,,Manly West,0739066500,4,Child Care Centre,"M, Manly West"
2360,Bethany Christian Care Janoah Gardens,11 Audell Street -,11 Audell Street,,Manly West,-,4,Care Facility,"M, Manly West"
2361,May Thai Restaurant,"Shop 18, 31 Burnett St 0733939000","Shop 18, 31 Burnett St",,Manly West,0733939000,,Cafe/Restaurant,"M, Manly West"
2362,Moreton Bay Boy's College,302 Manly Rd (07) 3906 9444,302 Manly Rd,,Manly West,(07) 3906 9444,3,Takeaway Food,"M, Manly West"
2363,The Hide Green Cafe,"Shop 1, 200 Preston Road -","Shop 1, 200 Preston Road",,Manly West,-,3,Cafe/Restaurant,"M, Manly West"
2364,The Cheesecake Shop Wynnum,"Shop 5, 148 Worthing St -","Shop 5, 148 Worthing St",,Manly West,-,4,"Food Shop,Bakery/Patisserie","M, Manly West"
2365,Japanese Kitchen,"Shop 3, 212 Preston Rd 0733966994","Shop 3, 212 Preston Rd",,Manly West,0733966994,,Cafe/Restaurant,"M, Manly West"
2366,Takakura,"Shop 3, 11 Burnett St (Mayfair Village on Manly) -","Shop 3, 11 Burnett St (Mayfair Village on Manly)",,Manly West,-,3,Cafe/Restaurant,"M, Manly West"
2367,Tiger's Asian Wok,"Shop 2, 190 Radford Rd -","Shop 2, 190 Radford Rd",,Manly West,-,3,Cafe/Restaurant,"M, Manly West"
2368,KRAMSDOG PTY LTD,17/11 BURNETT STREET -,17/11 BURNETT STREET,,Manly West,-,4,Takeaway Food,"M, Manly West"
2369,Bunnings Warehouse Manly West,368 Wondall Road 03 8632 6243,368 Wondall Road,,Manly West,03 8632 6243,3,Cafe/Restaurant,"M, Manly West"
2370,Baskin Robbins Manly West,"Shop 11, 11 Burnett St (Mayfair Village Manly) -","Shop 11, 11 Burnett St (Mayfair Village Manly)",,Manly West,-,4,Takeaway Food,"M, Manly West"
2371,Casa Di Louie,Shop 3 190 Radford Road -,Shop 3 190 Radford Road,,Manly West,-,4,Cafe/Restaurant,"M, Manly West"
2372,Advanced Fresh Concepts Pty Ltd,11 Burnett Street -,11 Burnett Street,,Manly West,-,,Takeaway Food,"M, Manly West"
2373,Mayfair Turkish Kebab Cuisine,"Mayfair Village Shop 19, 11 Burnett St -",Mayfair Village,"Shop 19, 11 Burnett St",Manly West,-,5,Takeaway Food,"M, Manly West"
2374,From Rosemary's Kitchen,C/- From Rosemary's Kitchen 7 McDermott Close -,C/- From Rosemary's Kitchen,7 McDermott Close,Manly West,-,,Bakery/Patisserie,"M, Manly West"
2375,Mother Duck Childcare and Kindergarten Manly,59 Manly Rd 0733933544,59 Manly Rd,,Manly West,0733933544,,Child Care Centre,"M, Manly West"
2376,Banter Coffee House,1/190 RADFORD ROAD -,1/190 RADFORD ROAD,,Manly West,-,4,Cafe/Restaurant,"M, Manly West"
2377,WE'RE LOADED,11 Lewis Pl -,11 Lewis Pl,,Manly West,-,5,Bakery/Patisserie,"M, Manly West"
2378,Kindy Patch Manly,186 Preston Rd -,186 Preston Rd,,Manly West,-,5,Child Care Centre,"M, Manly West"
2379,La P-za,"Shop 6, Wondall Road Village 190 Radford Rd -","Shop 6, Wondall Road Village",190 Radford Rd,Manly West,-,,Takeaway Food,"M, Manly West"
2380,NAMASTE MANLY,S 2 5 TREVALLY CRES -,S 2 5 TREVALLY CRES,,Manly West,-,4,Cafe/Restaurant,"M, Manly West"
2381,Gemelli Italian,2/76 Minnie St -,2/76 Minnie St,,Southport,-,,"Cafe/Restaurant,Takeaway Food","S, Southport"
2382,Harmony Greenslopes Pty Ltd,PO Box 977 -,PO Box 977,,Paradise Point,-,5,Child Care Centre,"P, Paradise Point"
2383,Avocado Queen Pty Ltd,C/- Anastasiia Rybalkina 19 Regards Drive -,C/- Anastasiia Rybalkina,19 Regards Drive,Benowa,-,,Food Stall,"B, Benowa"
2384,Grand Central Hotel,270 Ann St 3220 2061,270 Ann St,,Brisbane City,3220 2061,4,Cafe/Restaurant,"B, Brisbane City"
2385,Subway,460 George St -,460 George St,,Brisbane City,-,,"Takeaway Food,Cafe/Restaurant","B, Brisbane City"
2386,Kadoya Japanese Restaurant,73B Mary Street -,73B Mary Street,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2387,Room With Roses Cafe,Shop 29/117 Adelaide St 0732297050,Shop 29/117 Adelaide St,,Brisbane City,0732297050,3,Cafe/Restaurant,"B, Brisbane City"
2388,Keri Craig,Brisbane Arcade 117 Adelaide St (07) 3211 2797,Brisbane Arcade,117 Adelaide St,Brisbane City,(07) 3211 2797,,Cafe/Restaurant,"B, Brisbane City"
2389,The Croft House,95 Charlotte St 3224 3549,95 Charlotte St,,Brisbane City,3224 3549,3,"Cafe/Restaurant,Caterer - On Site","B, Brisbane City"
2390,Brunswick Bar Supplies Pty Ltd,"Old Mineral House 1a, 2 Edward Street 30128640","Old Mineral House 1a, 2 Edward Street",,Brisbane City,30128640,,Cafe/Restaurant,"B, Brisbane City"
2391,David's Noodle and Hotpot,"S64, 91 Queen Street (Myer Centre) -","S64, 91 Queen Street (Myer Centre)",,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2392,Roma Street Coffee Station,2/160 Roma Street -,2/160 Roma Street,,Brisbane City,-,,Takeaway Food,"B, Brisbane City"
2393,Strike Australia Pty Ltd,Wintergarden Shopping Centre 185 Queen Street -,Wintergarden Shopping Centre,185 Queen Street,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2394,GY BRISBANE PTY LTD,2/226 QUEEN STREET -,2/226 QUEEN STREET,,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2395,Budage Pty Ltd,"L28 Riparian Plaza, 71 Eagle St -","L28 Riparian Plaza, 71 Eagle St",,Brisbane City,-,5,Cafe/Restaurant,"B, Brisbane City"
2396,Treasury Casino & Hotel,21 Queen Street 07 3306 8888,21 Queen Street,,Brisbane City,07 3306 8888,,Cafe/Restaurant,"B, Brisbane City"
2397,Steamed,95 Turbot Street 07 3293 3423,95 Turbot Street,,Brisbane City,07 3293 3423,4,Cafe/Restaurant,"B, Brisbane City"
2398,Bar Merlo George St,239 George St 3221 8789,239 George St,,Brisbane City,3221 8789,,Cafe/Restaurant,"B, Brisbane City"
2399,Beppin,62 Charlotte St (68 Charlotte St) -,62 Charlotte St (68 Charlotte St),,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2400,Hanaichi Macarthur,"Shop 6, Macarthur Central, 255 - 259 Queen St -","Shop 6, Macarthur Central, 255 - 259 Queen St",,Brisbane City,-,4,Takeaway Food,"B, Brisbane City"
2401,Sushi in the City,"Shop 1, 30 Tank Street -","Shop 1, 30 Tank Street",,Brisbane City,-,,Takeaway Food,"B, Brisbane City"
2402,Gelatissimo Brisbane City,130 Queen St -,130 Queen St,,Brisbane City,-,,Takeaway Food,"B, Brisbane City"
2403,Maru Korean Restaurant,"Level 1, 157 Elizabeth Street 3423 3646","Level 1, 157 Elizabeth Street",,Brisbane City,3423 3646,4,Cafe/Restaurant,"B, Brisbane City"
2404,Friday's Riverside,123 Eagle Street -,123 Eagle Street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2405,The Grind Coffee and Deli,40 Tank Street (Ground floor) -,40 Tank Street (Ground floor),,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2406,Oshin Japanese Restaurant Adelaide Street,256 Adelaide S 07 3229 0410,256 Adelaide S,,Brisbane City,07 3229 0410,,Cafe/Restaurant,"B, Brisbane City"
2407,PJ' s Roast Inn,309 Adelaide Street 3229 5008,309 Adelaide Street,,Brisbane City,3229 5008,,Cafe/Restaurant,"B, Brisbane City"
2408,Chez Nous Cafe,2/160 Roma St -,2/160 Roma St,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2409,Teppanyaki King,"S7, Lvl A, Myer Centre, 91 Queens St, -","S7, Lvl A, Myer Centre, 91 Queens St,",,Brisbane City,-,3,"Cafe/Restaurant,Takeaway Food","B, Brisbane City"
2410,Cafe Mondial,167 Albert Street -,167 Albert Street,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2411,Great Southern Hotel,103 George Street -,103 George Street,,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2412,Characters Cafe,129 George St 32214756,129 George St,,Brisbane City,32214756,,Cafe/Restaurant,"B, Brisbane City"
2413,Salter Brothers (Queen Street) Hotel Pty Ltd (trading as Hyatt Regency Brisbane),76 Queen Street -,76 Queen Street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2414,A J Vietnamese Noodle House,68 Charlotte Street 3229 2128,68 Charlotte Street,,Brisbane City,3229 2128,,Cafe/Restaurant,"B, Brisbane City"
2415,Transcontinental Hotel,482 George Street -,482 George Street,,Brisbane City,-,5,Cafe/Restaurant,"B, Brisbane City"
2416,Port Office Hotel,40 Edward Street -,40 Edward Street,,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2417,Exchange Hotel Brisbane,131 Edward Street -,131 Edward Street,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2418,Criterion Tavern,239 George St 3221 7411,239 George St,,Brisbane City,3221 7411,3,Cafe/Restaurant,"B, Brisbane City"
2419,Pancake Manor (The),10 Charlotte Street 3221 6632,10 Charlotte Street,,Brisbane City,3221 6632,,Cafe/Restaurant,"B, Brisbane City"
2420,Caxton Hotel,38 Caxton St 3369 5544,38 Caxton St,,Brisbane City,3369 5544,,Cafe/Restaurant,"B, Brisbane City"
2421,The Brisbane Club,241 Adelaide Street -,241 Adelaide Street,,Brisbane City,-,5,"Cafe/Restaurant,Caterer - Off Site,Caterer - On Site","B, Brisbane City"
2422,Tattersall's Club,215 Queen Street -,215 Queen Street,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2423,Queensland Club,Not Open to Public - 19 George St 07 3007 2200,Not Open to Public -,19 George St,Brisbane City,07 3007 2200,3,Cafe/Restaurant,"B, Brisbane City"
2424,Tantex Holdings Pty Ltd (T/A McDonalds Queen St Mall),"Level 1, 130 Queen Street 3012 8587","Level 1, 130 Queen Street",,Brisbane City,3012 8587,4,Cafe/Restaurant,"B, Brisbane City"
2425,Sofitel Brisbane Central,249 Turbot Street -,249 Turbot Street,,Brisbane City,-,3,"Cafe/Restaurant,Caterer - On Site","B, Brisbane City"
2426,SPB (2000) Pty Ltd Stamford Plaza Brisbane,39 Edward Street -,39 Edward Street,,Brisbane City,-,5,Cafe/Restaurant,"B, Brisbane City"
2427,Simply Duo On George Street,Unit 1 Club Lodge 29 George Street -,Unit 1 Club Lodge,29 George Street,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2428,Coffee Iconic,340 George Street -,340 George Street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2429,Cafe Pronto,S61A 160 Ann Street -,S61A 160 Ann Street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2430,Boardroom Cafe,Ground floor 10 Felix St (264 Margaret St) -,Ground floor 10 Felix St (264 Margaret St),,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2431,Customs House-The University of Queensland,399 Queen Street 33658909,399 Queen Street,,Brisbane City,33658909,4,Cafe/Restaurant,"B, Brisbane City"
2432,Christie Corporate Conference Centre & Ground Floor Coffee Shop,Level 2/320 Adelaide Street 0730109111,Level 2/320 Adelaide Street,,Brisbane City,0730109111,4,Cafe/Restaurant,"B, Brisbane City"
2433,Daily Ritual Cafe,500 Queen street -,500 Queen street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2434,Isles Lane Holding Pty Ltd,300 Queen Street -,300 Queen Street,,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2435,Turquoise Kebab & Pizza,"Shop 1, 79 Albert Street 3012 9955","Shop 1, 79 Albert Street",,Brisbane City,3012 9955,,Takeaway Food,"B, Brisbane City"
2436,Soul Origin - Brisbane Myer,"S48A, Lvl E, Food Court, 91 Queen St (Myer Ctre) -","S48A, Lvl E, Food Court, 91 Queen St (Myer Ctre)",,Brisbane City,-,,Takeaway Food,"B, Brisbane City"
2437,Three Beans Cafe,"Shop 1, 145 Eagle St -","Shop 1, 145 Eagle St",,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2438,Augusta Brisbane,293 North Quay -,293 North Quay,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2439,Starbucks Coffee Australia Pty Ltd,"T12, Myer Centre Level A, 91 Queen Street -","T12, Myer Centre Level A, 91 Queen Street",,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2440,LE BON CHOIX ON EDWARD,104 Edward St -,104 Edward St,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2441,SQ Coffee Investment Pty Ltd,95 North Quay -,95 North Quay,,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2442,Kabuki,39 Edward St -,39 Edward St,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2443,Brisbane Marriott Hotel,515  Queen St 3303 8003,515  Queen St,,Brisbane City,3303 8003,,Cafe/Restaurant,"B, Brisbane City"
2444,La Vue Waterfront Restaurant,"Shop 1, 501 (493) Queen Street -","Shop 1, 501 (493) Queen Street",,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2445,Voco Brisbane City Centre,16 Ann Street -,16 Ann Street,,Brisbane City,-,5,"Caterer - On Site,Cafe/Restaurant,Accommodation Meals","B, Brisbane City"
2446,Haeduri Chicken City,"Shop 1, 104-108 Margaret St (Unilodge Brisbane) -","Shop 1, 104-108 Margaret St (Unilodge Brisbane)",,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2447,Johnny Ringos,560 Queen Street 07 38394625,560 Queen Street,,Brisbane City,07 38394625,4,Cafe/Restaurant,"B, Brisbane City"
2448,Marhaba Cafe,"Basement Lvl, City Hall, 64 Adelaide St -","Basement Lvl, City Hall, 64 Adelaide St",,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2449,Thai ASAP,"Shop 4, 10 Market St -","Shop 4, 10 Market St",,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2450,Irish Murphy's Brisbane,175 George Street -,175 George Street,,Brisbane City,-,4,Cafe/Restaurant,"B, Brisbane City"
2451,Olive And Angelo,2 / 12 Edward Street -,2 / 12 Edward Street,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2452,Oasis Juicebar,Queen Street (07) 3210 1556,Queen Street,,Brisbane City,(07) 3210 1556,,Cafe/Restaurant,"B, Brisbane City"
2453,Jimmy's on the Mall,T3 Queen Street Mall 07 34561500,T3 Queen Street Mall,,Brisbane City,07 34561500,5,Cafe/Restaurant,"B, Brisbane City"
2454,Pocket Micro Cafe,4/38 Wharf Street -,4/38 Wharf Street,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2455,Subway Edward St,"S 1, 120 Edward St 0409508375","S 1, 120 Edward St",,Brisbane City,0409508375,,Cafe/Restaurant,"B, Brisbane City"
2456,St Marks Road Co,171 George St (ground floor) -,171 George St (ground floor),,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2457,The Garden Room Roma st Parklands,1 Parkland Boulevard -,1 Parkland Boulevard,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2458,Kitchen Remedy Pty Ltd,200 Roma St (43 Makerston St) -,200 Roma St (43 Makerston St),,Brisbane City,-,5,Takeaway Food,"B, Brisbane City"
2459,Frankie & George,325 George Street -,325 George Street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2460,Hakataya Ramen,117 Queen St -,117 Queen St,,Brisbane City,-,,Cafe/Restaurant,"B, Brisbane City"
2461,McDonalds Central Station,317 Edward Street -,317 Edward Street,,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2462,Bornga,Level 1 153 ELIZABETH STREET -,Level 1,153 ELIZABETH STREET,Brisbane City,-,3,Cafe/Restaurant,"B, Brisbane City"
2463,Kebab Guys,"Shop 4, 120 Edward Street -","Shop 4, 120 Edward Street",,Brisbane City,-,,Takeaway Food,"B, Brisbane City"
2464,Selina Operations Brisbane Pty Ltd,466 George St (Cnr Herschel St) -,466 George St (Cnr Herschel St),,Brisbane City,-,5,"Cafe/Restaurant,Takeaway Food","B, Brisbane City"
